order_id,products
1185710,9839 14715 21137 21267 21903 22935 27548 27845 28204 35221 43210 45633 49236
1237726,24852 26209 39877 46654
572050,31846
1753574,2452 6348 10385 10814 18838 19348 21137 22115 22935 24184 24852 25890 27845 34448 38293 42606 43295 47766
442242,3957 7521 25718
3376600,2295 5212 8710 13829 13870 14633 15649 15950 17949 19678 20127 20995 21903 22935 24852 26283 26369 26856 27966 33754 37646 42265 43726 46747 46820 47209 47761 48679
2557552,1468 2809 21903 24852
2391680,13176 21137 21903 22721 26369 27104 39275 42265 43394 43768 45007
2196307,3957 4957 5077 14924 17429 29370 31040 33754 35221 40571 44632 47943
198531,24195 24852 30442
1281623,162 1511 8277 22908 25513 25753 33055 36735 49235
1309059,10749 21903 24852 47766
654116,6829 16797 18498 21781 22242 24669 25146 31958 32047 36011 36035 44116 45825 47683 49191
2761369,13176 22935 26800 27966 28378 33572 35921 43875 46979 49236
1918388,5134 14084 25931 27104 33120 39639 42265 42585
3073553,340 486 2063 4210 12703 14947 16797 18434 24852 28204 33768 35503 35951 40289 48205
1266894,19761
2185735,1463 3957 8021 12807 19571 29527 34243 37022 43961 47209 49241
1676841,49235
1088553,21137 27845
65467,1511 24852 35140 47630
2314209,33129 45763
3407461,43154
2372519,6533 8193 8274 8590 33231 41722
2247264,18176 24852 41549
2651333,432 1321 8153 19638 20114 28985 40174
1990335,21663 43598 43961
668032,6347
2730481,4920 7916 19057 20082 27966 39993 47616 47766
1032696,5708 13984 24838 24852 36316 37646 42265 47209 47626
3355968,13176 30169 35951 39427 43295
1945605,5785 8021 12576 16262 21709 27086 30290 35221 42828 44292 44632 47144
1098067,3585 4421 14467 23644 36550 37158
2890507,1409 8710 16663 43432
2519594,2748 6104 7781 8424 9390 13083 13176 14874 17568 20734 24838 26209 27966 29460 33731 35108 37355 39275 39570 42265 43643 45014 45066 45504 45965 46313 46381 46969 47209 47626 49683
1493300,7781 8277 13113 13176 17630 17706 18465
476412,5450 16797 24852 32153
2151106,4776 13176 16541 21137 24269 28227 43352 47141
293692,23383 27548 34050 36735
836275,5460 10673 13293 16816 24852 28204 32566 35376 37017 37520 41950 43967
1956871,45 3999 4443 5101 10411 12320 13921 23719 28204 34502 35163 35951 36214 36735
68117,9605 12870 17341 17676 18284 21333 21386 26165 28092 28204 30320 35914 49030
3387692,4920 13176 18670 39877
543041,12674 13819 15552 22035 26497 26683 30953 37687
1455788,1775 4674 18104 23819 27612 28296 33852 40354 41805 43772 48071
1490499,8193 11140 24235 24852 24964 28842 47626 49236
2055323,30862
1324947,2611 13225 13646 13712 16797 20995 22035 27966 33198 34448 37158 47156
891657,3773 8518 9337 12953 13176 18413 20385 20734 20995 22721 25919 28476 29127 30450 35687 35921 39040 41149 42242 43484 46313 47388
3112323,18523 36258 44267
1241495,260 8174 8903 13176 21137 24838 25837 27966 36082 38984 39275 49026
1112531,24857 32478 49235
1545001,7715 19895 24852 30233
1267591,3860 8277 13176 16797
944071,13944
606811,1940 9595 9598 14633 16254 18465 21137 21903 22025 24852 26790 31257 36717
1901134,4163 24852 30003 32689 40031 43209 49381 49683
1461409,21009 21137 27966 32864 35561 37288 38159 45246
1036348,13176 22825 23044 37646 47209
1803743,2770 10673 13249 34858 43631 48723
2377342,11182 12508 27360 34234 42360
2080645,1940 5825 13176 13225 16961 19057 20166 21019 27196 33909 34234 36878 39303 41273 41290 42372 46402 47329
599014,15290 20114 26384 27104 47626 49381
587740,7533 17317 23296 33548 38241 40621 44156 47965
877079,34 9438 14233 16290 18389 22888 23427 24852 26800 31683
1887969,24852
3100473,2078 4142 5876 8174 10749 13083 13176 17948 19820 21903 22825 22935 22963 26315 27104 27966 32134 32935 34126 35547 38439 39984 40706 42479 44359 47209
123641,19348 21288 26604 29615 32465 42356 48527
2104476,5077 5959 8277 18370 20995 21903 24852 27845 30391 31343 35221 37687 39928 43961 45007 47766 48679
3025259,3434 10036 12099 19511 22470 28269 32018 32740 36144 47766
203528,9839 10749 11555 11710 13176 18465 21903 22825 27845 27966 30391 32931 38557 43768 45007 46313 46979 47766
1094091,4793 5450 23233 27966 30440 34050 39527
764108,1695 8047 13176 18552 20298 24920 27522 40261 42719 43693
1386850,3952 17794 18224 21616 21903 22959 24125 27104 30391 31717 32134 32655 42585 43789 45007 45948 46194 48988
458905,28682
728126,2078 5535 10673 13866 15709 22963 24852 29993 30117 35914 44987 46616
1886032,581 2094 3481 4421 4605 4942 5337 9346 10761 11068 12872 13176 13733 16185 19048 21267 21903 22474 24830 26723 28553 28985 29487 32717 34050 35004 35108 35921 36606 38273 40709 42828 44560 46724 46802
630214,449 2120 6187 6340 8013 9901 11869 14901 14992 23909 24852 44799 45622
1533834,13524 17224 24852 25108 40332 40759
736391,14979
1470781,27966 43961
2360269,2962 4879 5077 13834 22151 25804 27086 28204 36126 39581 45761 49141 49628
1237146,4942 10246 16249 20919 24852 49235 49683
3128663,13424 26881 28364 31759
2535468,6184 12341 13176 21572 25653 27156 35886 47376
1619858,24964 47626
999537,23909 30850 32700
162228,4920 13176 20574 21616 33198 38662 42265 45763
160588,11777 29848 34668 45007
2914973,1025 9092 9366 22935 24852 25890 31927 34969 43352 46979 47626 47734
153911,605 11984 17920 18465 20598 33198 43400
1530394,432 10199 10798 19895 21137 22035 22963 29370 39527 42828 47209 48415
1018776,32689
3158092,4605 12697 18987 33909 35123 39604 46041
1788231,1194 2091 6182 9076 11543 11937 13176 14133 18523 21417 22825 22959 23543 24852 26209 28204 28942 34969 35522 37464 38739 40198 41844 45007 46820
2580369,35939
2866997,15872 20379 21137 23986 24852 27000 27104 29987 32665 39275
1629029,1337 5258 7922 9421 13176 17948 21903 27104 27695 40156 47943 48679
1158445,3583 8424 8903 10339 19068 24583 28289 36522 46720 47626 49075
1184388,31396 32837 34838
1261211,432 2450 13176 17224 21137 21607 41618 45066
2976551,5785 35547
524582,22228 27845 34969 47144 49114 49683
2742254,20738 23341 23962 24852 25110 29487 29553 35336 47626 47747
39629,5479 11576 13176
2496659,6799 10032 12218 13375 17122 19389 20995 23037 24852 26456 27966 30661 32645 33122 40376 40621 45588 47029 49279
2676901,1461 7901 15134 18564 34230 35846 37886
1078531,4920 5450 8174 19057 21077 22935 26209 41259 48171
2278368,4357 5876 10749 11776 13176 22501 36397 37646 37687 38837 38944 39190 47147
3196397,25211 40198
695415,14947 20119 27086 30233 36011 44632
2121710,2694 23430 30630
2904666,5479 13176 18027 19660 21872 21938 26209 28985 30391 30489 31717 32747 41950 45007 46676 47209 47766
1497682,2855 48205
178418,5450 5785 21137 21616 22935 27104 27521 27966 30233
391588,651 6489 7235 11933 13176 13249 16882 19057 27845 33120 34969 41593 45123
1055153,4920 6343 13198 20574 28204 32734 34214 40174 40706 41844
1176544,7035 8424 11494 16710 20285 20842 34969 36029
1170109,12039 16558 17579 17898 37388 47169
2471966,276 4895 17008 19368 21153 22108 22395 23322 23909 24777 25115 25146 26209 26321 27096 28204 31217 31423 38400 38974 40939 45066 46844 47366 47626 48205 48657 49340
1994195,1930 4920 9839 21903 24799 24852 27344 28465 36011 36865
2513235,29010 38511
2286484,38155
1624388,8571 33000
3020209,2966 13176 21137 41488 42445
3255859,651 15261 17807 22308 22935 24964 29326 38689 39812 42265 44359 47766 47900
2005070,1199 4799 6948 13176 15503 27845 42768 45570 48775
1237487,10749 30949 32052 39561 40706
2688906,1516 3952 8518 13176 22935 24489 24964 27104 44924 47209
2170508,1379 38689
2563471,1 3260 4047 8859 13951 14564 18359 18790 21757 22340 29698 30553 34862 36843 40240 43631 47977 48304
1750505,7461 24852 25280 41488
2318244,13176 21903 36011 45066
242483,12341 16797 24838 24852 27845 44683 45570
2278226,17044 38003
1272828,15200 16797 24852 27288 35921 38817
362619,21129 31964 36316 36923 37776 39046
1168266,1940 2536 28427
141543,9175 45154
3183367,24489 28156 28797 44422 47492 48857
1797124,196 22802
89381,11422 24890 30504 43631 49191
1423050,1063 24838 26683 27744 31663 39276 42443 43295
1249392,13176 26914 28535 28928 29447 35221 36036 44632 47766
3311636,5876 47209
439205,13176 19057 24852
420520,3512 5782 9387 9544 16607 24852
2754200,3398 5077 11983 23909 24852 25804 28204 29846 30696 31981 35628 39982 42504
2558743,94 5484 5785 8277 8866 10199 13176 16396 19611 19678 20081 21137 25936 26278 27845 27966 28237 28785 30489 31127 37349 43295 46166
1287397,28204
1519990,27086 42736 47766
1671355,7916 14050 21903 24852 25837 37646 39928 46676 47209
2791256,17949 19057 19348 21137 21903 24799 24852 30489 34217 40310 47209
2520517,5985 8571 12341 21292 32689
1930805,10326 11759 13176 40939 47402
1502827,5612 27845 38453 49235
1054066,3835 3896 10467 47156
109911,5168 19893 21903 24852 24964 28985 38293 38662 43961 46206 46676 46802 46979 47626 47766 49683
934581,5479 12456 14833 22935 26209 26604 27966 31948 32864 35140 37687 47626 48034
311086,6656 7393 8501 16185 22123 23044 24852 29447 33845 43867
2997340,148 1541 1685 4920 7156 8424 15130 17419 22959 23734 24184 24852 25890 29487 30727 32133 40136 40997 41787 47766 49683
216270,1215 4421 8022 11352 13176 17794 19448 22035 24024 24489 27086 27454 29370 29996 34448 39928 40310 42450 43643
889691,3896 5612 13646 14858 19966 20392 27086 46485
2676926,1313 2966 20114 31683 34380 35921 37646 44142 47626 47766
1146075,3243 5353 5785 14764 16759 17419 18838 24125 32655 33000 42445
3168076,13176 21137 21903 28158 39275 39928 40706 44949
2316252,21573 32403
1199748,5077 10151 24218 44570 47626 47766
1196886,4210 6046
2864780,4792 13249 16168 18523 21903 24852 35045 48857
2101491,260 3464 6532 7559 7781 7806 8277 8518 9839 13560 16083 16363 21938 24852 26209 36695 42265 44310 46979 47626 47717 47766
2898328,5547 30923
2308945,169 19508 21137 24852 26324 34050 44632 47626
551385,8859 14491 19376 21903 22228 30148
2065552,1612 2120 3990 6166 12013 13176 14348 14999 16921 19057 20019 20114 20842 22309 26510 28092 35003 39491 40586 43772 44533
2619795,432 9387 22186 22695 23005 24184 24852 28204 37131 47766 49098
92308,40223 47766
2869963,6347 34969 42265 47209
221995,18443 21903 32478
2364225,432 4562 4605 5450 6046 6473 8920 11777 13230 21158 24852 26209 29487 32115 32689 36186 37330 38444 42460 42736 43772 45290 46841
2383884,21769 43154 46061
1409336,9424 13176 16759 26209 27548 27845 29328 29370 31073 31572 35921 40199 40593 41220 44359 46650 47766
2985179,13176 23383 35951 41220 46584
2510588,13176 27695 27966 28476 32747 36929 46990 49235
2724284,12923 22054 25558 39475 42840
406182,1642 1843 3919 6046 8149 8800 10032 12232 15872 18432 21689 23909 27209 27313 32303 33614 35921 37250 37886 38793 47226
3359540,4724 8803 16797 26900 30633 33768
1382149,4920 12456 13176 28842 32177 40198 46175
113476,4605 18883 33279
172394,4574 6985 7563 21137 22035 25890 47766
1017522,5578 5991 8479 12545 13176 21903 25005 27325 31717 32177 34243 38644 39411 40604 44632
1148846,27985 34466 49131
1389899,2559 6350 9741 13951 17080 19894 47626
383770,5484 7681 42526 47626 48559
1344043,11945 23565 27949 38205
2172762,1689 10673 20378 25466 30353 49520
1635368,5241 9839 13176 16185 24139 26706 32201 33198
624714,1090 2639 3044 23909 27945 34117 42659 44536 48205 48246
3102231,1940 19019 24852 41950
3070543,2014 3855 9534 9741 11440 13176 21137 22312 27845 28597 29941 32717 37646 38274 41242 45633 46906 47156 47616 48720 49683
1378259,3431 9623 10616 16320 24852
951592,5385 6105 17487 29615 34111 37927 38558
2270224,23293 24852 33351 38185 40486 47209 47888
3235117,2855 5392 21137 27845
1720960,11266
2279794,9121 12879 25480 32655 42948
1248981,2295 2350 3849 5450 7035 11140 15290 18027 24279 24852 31215 43352 47652 48205
1516872,4945 13031 47626 47766
533523,277 1688 1940 3682 6348 6585 7781 8501 10481 10666 10673 13176 13203 19173 21137 23431 26505 27966 29993 31960 32685 33845 37654 38374 39041 43961 44980 47570 48004 49235
20345,5785 7916 10753 13176 14870 15290 17652 21137 24852 27344 27966 28465 34511 40063 41787 42265 47912
2771992,4792 9508 14778 17982 20955 24799 28199 33894 36978 37158 39832 45596
3118092,6008 6218 17794 21137 26209 26746 26940 34243 39275 39877 45007
1242668,8859 18071 24852 34262 43252 44925
352630,1203 3957 5876 13176 19240 19660 21903 22713 27521 27999 32566
2072510,2086 4142 5450 11520
1237738,12772 13740 15424 20082 21131 21137 21288 24101 27966 30569 39275 47209
121516,7693 12845 19209 24053 32303 46483 48527 49492
1523498,8843 21333 26871 45580 47124
2239739,2611 6489 19006 22122 22969 23375 27845 31343 33198 37766 47766 48967
1970457,3397 4210 4793 4799 7559 8087 8859 10749 13176 13431 13819 18594 21137 21267 22035 23044 27307 27454 28862 30391 35628 35767 37388 40199 40723 41165 42265 42342 46565 46584 47209 47912 48255
2525507,45 3481 4781 8518 10749 11520 13176 16882 21137 22008 22935 46069 47209
2786948,2846 6383 14874 21614 24852 26856 31640 32689 32864 40706
3032161,2038 8204 15383 22952 33827 34487 35383 39108 46522
2788023,19660 20754 21108 33120 47626
1392421,21288
2491706,4210 9076 13636 16696 16797 16953 21282 24643 24852 31343 39108 39581 40939 41373 43295 44654 49481
2572782,1560 4210 16797 29487 47626
23500,3957 4429 6734 13176 13214 18070 24838 27104 27695 35842 35951 43086 44624 44632 49416
2262783,8277 11520 16308 21903 33000 41618 42244 47766
1052165,2999 3464 8021 9047 14578 25487 32689 37355
2544926,11759 13966 32478 37980
1500721,42389
527075,21115 23236 24852 37493 42252 43772 44562 45066 45685
3018942,10258 17122
2933690,2480 4410 5130 39275 41950 47144 47626 47630 47766
1295088,5450 18362 19677 24852 27695
1205372,21267 24561 35887 38689
2784114,42445
2634958,12392 21137 21903 24852 37496 39877 40656 44098 44815 47209
1684278,1194 27966 31915 33198
3381268,9554 11865 13031 14126 19125 24852 26032 32029 35951 38689 40380 42828
1601439,15153 21019 22260 28601 29675 37687 39928 46107 49683
3419249,5876 11408 13176 21137 22935 37646 39589 41787 43789 47209
972886,5876
3288057,12481 16276 24852 34433 37121 42014 42736 44799 44987
2802507,6155 21242 27086
1440533,7249 8571 13032 21137 26317 31651 33081 43154 43352 49235
2128112,4138 13966 28204 43252
2061262,3999 13176 23554 24184 28204 28594 30881 32747 36550 39605 41315 45570
1860851,148 24852 28199 39877 42495
1294240,196 9644 13176 16797 26900 32478
2485297,19171 22935 24852 44142
615968,11576 13870 16589 18765 19660 30489 41716
714005,196 1541 1700 18643 24852 25861 40403 43807
507309,4945 26579 31889 43044 47252
539759,1848 5077 6348 12481 13870 17316 21616 25547 26940 28204 32033 34691 46692 49683
730226,11365 12899
2219156,32650 38785 45569 48933
1562811,5479 8277 17741 24489 37197 38890 41242 44765 46880 49111
2346992,24852 45679
825152,1940 2356 5069 7028 10479 17600 24037 24852 27239 27344 28204 29993 30645 33129 42265 44487 45066
1217860,25146 28427 29487
39872,6101 7688 20017 20842 32441 40332 49610
797320,13176 16589 17948 24933 38400 38925 39877 40604 42768 49224
2117678,1335 22935 46226
644486,1194 8859 24852 47766
1166076,4086 9825 10749 21903 22935 40706
1660241,5876 16830 20114 21137 21288 21405 24852 26209 28008 29307 30233 31717 34530 39877 47766
2578885,1244 12341 21137 22959 27966 34949 48894 49621
2719212,1360 4297 20876 24852 32828 47766 49075
2897298,13176 24489 36082 47977 48845
737811,26683 35168 35951
3377875,9018 24852 25890 45635
2003451,33095 34898
1242569,3957 13176 21137 47209
708051,6774 8518 16797 21616 24125 24852 25890 28156 34358 36011
979711,12572 16759 20015 25890 31915 34358 37067 39928 45007 45066 46969 46979
115809,7533 23106 38241 42450
330006,16387 42612
1003428,3429 3952 11078 19660 38988 41065 48679
796276,12545 14947
2134549,695 1682 9692 16965 34483 35342 40299
173060,1158 3296 13629 19057 21137 22474 22825 24518 24852 26800 27966 30391 31915 34584 35221 44479 45013 48486
1417318,8518 10768 13166 13176 17027 25466 27521 27966 30639 34126
1747737,6348 27845 29447 31618 39475
1094757,1514 3265 3990 4091 5083 5422 7738 9225 11678 16419 18987 21288 21333 23322 24852 27966 28196 28427 28993 32303 34005 34234 46842 47818
1023763,907 22028
3096624,45007
556998,5077 5794 12859 13176 17794 18432 20842 32784 37354 39275 43352 43772 46847
1654614,4451 4920 8518 9839 10749 13629 15795 16560 17461 18880 18926 19057 21903 22935 24841 24852 27845 27966 28985 33845 34677 36397 37646 38190 39877 45007 46087 47196 47626 47766 49583
348608,12863 23909 29487 31299 31717 32553 32679 34487 44799
3263101,3765 5785 10130 14778 15063 18523 20580 21134 21709 23044 24852 28465 31487 31720 33198 35221 35951 37646 39739 39877 40363 47912
472089,1158 5450 7485 8986 10749 16759 19677 21417 21903 24852 25146 25890 31927 38293 38383 45007 45066 46802 47766
1477795,19660 21903 39877 41950 46667 46979 47209 49683
1837509,2604 15429 22559 25753
1295547,10279 35914
183244,1831 2717 5771 12919 21333 31964 35221 35458 38267 46676 49191
687724,5612 16797 20379 42585
1257586,4600 5077 12456 13176 21903 25138 25305 28226 33731 35951 37524 38689 39619 44008 44533 45007 47209 49075
2446481,33671
1964277,3896 8174 13176 21009 21137 21614 25747 32740 35504 38689 39877 40706
3354422,9122 19660 25171 25659 44261 47258
3299383,432 20574 21903 30776 38293 42265 43352 45007
1917547,12341 21288 36534
18113,3107 17008 20039 31134 32156 35221 40332 47766 48205
422051,9124 9934 10246 13176 16797 18234 20842 21872 22935 22963 28250 28424 28985 34217 41678 42585 47209
3380822,2120 14233 14727 21927 34358
825986,859 4656 4920 5315 6478 8390 8460 8903 11777 12980 14450 15902 16797 19863 20682 20815 20985 22695 24142 25837 28156 33666 34234 36070 40376 41290 48109 49622
1334507,5077 7295 8536 10429 13944 15860 16971 21903 23204 26924 27102 30183 31091 31216 31683 32762 37940 41602 43263 47766
2857490,8518 13176 15995 21903 24489 27966 32927 35951 39275 48679
307143,2825 4605 5646 8277 13176 17789 18027 18465 20754 21137 23579 25931 27730 28985 38164 38739 39475 42265 42557 43122 44359 47626 49683
2252628,5128
2343550,4942 24852 43014 45007
977808,21616 48171
2298851,4698 5141 14126 15902 26209 45603 46105 46676 48559
1377070,6383 20809 22963 26442 29307 35042 40454 47626
1138234,389 9810 17154 26839 38849 48246 49387
2166558,13944 45004
1067908,6111 14636 21083
235789,5258 9535 33000
3112593,23909 37215
3261182,22935 26324 43772
917864,3873 26172 32691
3302795,10749 21137 35523 48679
544889,1158 7412 7963 13249 17284 20339 21903 24489 24852 25146 27086 28553 33647 35221 35336 38772 39993 47639
14817,790 5918 26587 36591 39815
3238643,33081
995122,4138 10343 21903 24631 24799 25272 32717
658852,7862 9213 10258 32714 37687 38928
2999536,5337 13176 17207 32478 33768
1151839,24852 25204
1103486,18234 23102
412133,7598 12935 22935 24852 27104 34584 35504 45346
1898121,13914 21292 21573 26088 26348 32455 37710 40199 45004 49235
3063004,6184 12341 15541 16974
1703133,6774 19125 21616 25890 34688 42471 46720 46820 47766
3061961,44152
3339861,25 11688 16793 22035 24852 31477 46676
1269779,5646
1073265,4210 4779 5876 7021 10749 15649 21903 24810 24838 24852 24964 26209 26369 27966 28934 42265 42342 47626 48679
3106959,22035 26165
2546776,16797 28373 35221 47766
2991602,5451 13083 16797 21137 22825 23102 39922 43772 45066
3221782,1689 20919 21330 23341 23785 25363 25886 32605 35042 44142 46201 46979
1011297,17794 22935 25931 34126 45007
2110390,3539 44041
1520586,4781 5618 18376 21137 26604 29095 29487 38739 39275 41220 46059 47626
3377720,13176 17419 27730 27966
913397,17600 19057 21137 24852
1301634,4142 13176 13675 14150 21903 27845 32864 33232 35921 42091 49235
781578,13259 21137 32478 37710 40199 46562
526421,22035 22089 24852 25890 28934 39475 40593 44765 44987
40070,22298 27845
795428,8412
1122524,196 43744 49235
3307750,11193 18618 21386 24852 31605 32230 45007 47144
3072395,8424 10955 17317 23341 40091 43565 47626 47766
1448063,5161 5876 6238 17794 17948 18811 19057 21137 24489 24852 27521 34358 35597 36550 39928 45066 47766
1304479,1158 23634 23919 30450 32665 37724 48104
2222025,9124 9339 17224 23322 25513 34262 48287
583891,3248 14881 21903 24852
1560567,4210 8898 9175 15902 20804 31622 40910 47660
1952709,8859 9068 12013 14063 47990
2477100,389 5876 8174 8277 8385 13176 13409 14881 15462 16396 21137 22935 23165 24964 26084 27142 27344 29310 29871 31717 34065 34243 36070 38383 39275 42323 42449 46051 46670 46720 47209 48745
2962049,790 15290 28842 41578 44142 48199 49683
1919322,5876 20995 24838
2509434,3457 13176 19057 22963 25931 36865 44910 45007 47209
3246106,8204 16797 21616 22935 23644 24184 24852 27323 30849 32239 34668 47766
1887165,14788 18253 47842
2733997,196 12427 32689
